ticker,fy,filed,ni,equity,cfo,assets,assets_cur,liab_cur,ltd,revenue,gross,shares
HUM,2015,2016-02-18,1231000000.0,8847000000.0,1716000000.0,23527000000.0,15536000000.0,7471000000.0,3825000000.0,41313000000.0,,159151000.0
HUM,2016,2017-02-17,1147000000.0,9316000000.0,1618000000.0,24678000000.0,15711000000.0,8152000000.0,3794000000.0,48500000000.0,,155874000.0
HUM,2017,2018-02-16,1276000000.0,9646000000.0,868000000.0,25396000000.0,16190000000.0,7822000000.0,3792000000.0,54289000000.0,,151142000.0
HUM,2018,2019-02-21,614000000.0,10346000000.0,1936000000.0,27178000000.0,17402000000.0,9406000000.0,4770000000.0,54379000000.0,,150917000.0
HUM,2019,2020-02-20,2448000000.0,10685000000.0,4051000000.0,25413000000.0,16948000000.0,10077000000.0,4375000000.0,53767000000.0,,145585000.0
HUM,2020,2021-02-18,1683000000.0,9842000000.0,2173000000.0,29074000000.0,19888000000.0,10929000000.0,4967000000.0,56912000000.0,,138403000.0
HUM,2021,2022-02-17,2707000000.0,,5284000000.0,34969000000.0,23641000000.0,13394000000.0,6060000000.0,64888000000.0,,134727000.0
HUM,2022,2023-02-16,3367000000.0,16080000000.0,5639000000.0,44358000000.0,24893000000.0,15331000000.0,10541000000.0,77155000000.0,,133012000.0
HUM,2023,2024-02-15,2933000000.0,15311000000.0,2262000000.0,43055000000.0,26183000000.0,17178000000.0,9034000000.0,83064000000.0,,129396000.0
HUM,2024,2025-02-20,2806000000.0,16262000000.0,4587000000.0,47065000000.0,29986000000.0,18872000000.0,10213000000.0,92870000000.0,,127094000.0
HUM,2025,2026-02-19,2489000000.0,16375000000.0,3981000000.0,46479000000.0,29815000000.0,16939000000.0,11144000000.0,106374000000.0,,124441000.0
HWM,2010,2011-02-17,-74000000.0,12420000000.0,1234000000.0,38472000000.0,7022000000.0,5414000000.0,8974000000.0,,,813000000.0
HWM,2011,2012-02-16,-1151000000.0,13611000000.0,1365000000.0,39293000000.0,6919000000.0,5251000000.0,8842000000.0,,,935000000.0
HWM,2012,2013-02-15,254000000.0,13844000000.0,2261000000.0,40120000000.0,7713000000.0,6013000000.0,8640000000.0,,,1025000000.0
HWM,2013,2014-02-13,611000000.0,13199000000.0,2193000000.0,40179000000.0,7700000000.0,5942000000.0,8311000000.0,,,1161000000.0
HWM,2014,2015-02-19,191000000.0,10593000000.0,1497000000.0,35742000000.0,6969000000.0,6105000000.0,7607000000.0,,,1076000000.0
HWM,2015,2016-02-19,-2285000000.0,12306000000.0,1578000000.0,37363000000.0,7848000000.0,5458000000.0,8769000000.0,,,1070000000.0
HWM,2016,2017-02-28,268000000.0,12046000000.0,1674000000.0,36477000000.0,7953000000.0,5211000000.0,8786000000.0,,,393000000.0
HWM,2017,2018-02-26,-322000000.0,5115000000.0,1582000000.0,20038000000.0,5892000000.0,2749000000.0,8044000000.0,,,420000000.0
HWM,2018,2019-02-21,-941000000.0,4910000000.0,95000000.0,18718000000.0,6378000000.0,2824000000.0,6806000000.0,12394000000.0,,438000000.0
HWM,2019,2020-02-27,-74000000.0,5573000000.0,-39000000.0,18693000000.0,6581000000.0,3520000000.0,5896000000.0,12960000000.0,,451000000.0
HWM,2020,2021-02-16,642000000.0,4591000000.0,217000000.0,17562000000.0,5843000000.0,4125000000.0,4906000000.0,6778000000.0,,503000000.0
HWM,2021,2022-02-14,470000000.0,3577000000.0,461000000.0,11443000000.0,3672000000.0,1660000000.0,4699000000.0,7098000000.0,,463000000.0
HWM,2022,2023-02-14,261000000.0,3508000000.0,9000000.0,10219000000.0,2737000000.0,1253000000.0,4227000000.0,5259000000.0,,439000000.0
HWM,2023,2024-02-13,258000000.0,3577000000.0,449000000.0,10255000000.0,3143000000.0,1482000000.0,4162000000.0,4972000000.0,,435000000.0
HWM,2024,2025-02-14,469000000.0,3508000000.0,733000000.0,10428000000.0,3316000000.0,1784000000.0,3500000000.0,5663000000.0,,421000000.0
HWM,2025,2026-02-12,765000000.0,3601000000.0,901000000.0,10519000000.0,3362000000.0,1549000000.0,3309000000.0,6640000000.0,,416000000.0
IBM,2017,2018-02-27,13190000000.0,18246000000.0,17255000000.0,110495000000.0,43888000000.0,36275000000.0,34655000000.0,81741000000.0,40684000000.0,982700267.0
IBM,2018,2019-02-26,11872000000.0,17594000000.0,17084000000.0,117470000000.0,49735000000.0,37363000000.0,39837000000.0,79919000000.0,38516000000.0,958714097.0
IBM,2019,2020-02-25,5753000000.0,16796000000.0,16724000000.0,125356000000.0,49146000000.0,38227000000.0,,79139000000.0,36943000000.0,937385625.0
IBM,2020,2021-02-23,8728000000.0,20841000000.0,15247000000.0,123382000000.0,38420000000.0,37701000000.0,54102000000.0,79591000000.0,36936000000.0,916315714.0
IBM,2021,2022-02-22,9431000000.0,20597000000.0,14770000000.0,152186000000.0,39165000000.0,39869000000.0,54217000000.0,57714000000.0,31533000000.0,892813376.0
IBM,2022,2023-02-28,5590000000.0,18901000000.0,18197000000.0,155971000000.0,29539000000.0,33619000000.0,44917000000.0,55179000000.0,30865000000.0,896563971.0
IBM,2023,2024-02-26,5743000000.0,21944000000.0,12796000000.0,127243000000.0,29118000000.0,31505000000.0,46189000000.0,57350000000.0,31486000000.0,904641001.0
IBM,2024,2025-02-25,1639000000.0,22533000000.0,10435000000.0,135241000000.0,32908000000.0,34122000000.0,50121000000.0,60530000000.0,32687000000.0,912269062.0
IBM,2025,2026-02-24,7502000000.0,27307000000.0,13931000000.0,137175000000.0,34482000000.0,33142000000.0,49884000000.0,61860000000.0,34300000000.0,922073828.0
INOD,2011,2012-02-28,7313000.0,29262000.0,12095000.0,52247000.0,36807000.0,10719000.0,1604000.0,76711000.0,,25764000.0
INOD,2012,2013-03-15,-747000.0,40985000.0,4858000.0,59397000.0,43841000.0,15693000.0,2944000.0,61513000.0,,25360.0
INOD,2013,2014-03-14,4471000.0,39438000.0,,66181000.0,46498000.0,13714000.0,3374000.0,73942000.0,,25103000.0
INOD,2014,2015-03-13,7473000.0,41168000.0,,49997000.0,38580000.0,9736000.0,3747000.0,86591000.0,,26232000.0
INOD,2015,2016-03-14,-10632000.0,50509000.0,,54861000.0,37935000.0,12168000.0,5540000.0,64249000.0,,24997000.0
INOD,2016,2017-03-15,-974000.0,39973000.0,,51237000.0,37057000.0,12304000.0,3436000.0,59076000.0,,25232000.0
INOD,2017,2018-03-22,-5524000.0,38212000.0,-2735000.0,47588000.0,27248000.0,12841000.0,3917000.0,63074000.0,,25542000.0
INOD,2018,2019-03-26,-5055000.0,33784000.0,639000.0,47871000.0,25328000.0,15599000.0,4477000.0,60929000.0,,25816000.0
INOD,2019,2020-03-16,-253000.0,30622000.0,3567000.0,44940000.0,26162000.0,13895000.0,4062000.0,57418000.0,,25878000.0
INOD,2020,2021-03-15,-2142000.0,29575000.0,4280000.0,49497000.0,24004000.0,15754000.0,4534000.0,55858000.0,,25774000.0
INOD,2021,2022-03-24,617000.0,29640000.0,5660000.0,57254000.0,31861000.0,18346000.0,6282000.0,58240000.0,,25573000.0
INOD,2022,2023-02-24,-1673000.0,29640000.0,5151000.0,59217000.0,33962000.0,21304000.0,6217000.0,69755000.0,,26630000.0
INOD,2023,2024-03-04,-11935000.0,29927000.0,-1216000.0,48042000.0,23685000.0,20816000.0,,79001000.0,,27278.0
INOD,2024,2025-02-24,-908000.0,18773000.0,5903000.0,59431000.0,32077000.0,22935000.0,,,31293000.0,28131000.0
INOD,2025,2026-02-26,28660000.0,63472000.0,34864000.0,113449000.0,81000000.0,39506000.0,,,67074000.0,32177000.0
INTC,2009,2010-02-22,6976000000.0,37210000000.0,12625000000.0,50472000000.0,19871000000.0,7818000000.0,1185000000.0,,19904000000.0,5936000000.0
INTC,2010,2011-02-18,5292000000.0,43220000000.0,10926000000.0,53095000000.0,21157000000.0,7591000000.0,2049000000.0,,20844000000.0,5748000000.0
INTC,2011,2012-02-23,4369000000.0,39546000000.0,11170000000.0,63186000000.0,31611000000.0,9327000000.0,2077000000.0,,19561000000.0,5645000000.0
INTC,2012,2013-02-19,11464000000.0,41704000000.0,16692000000.0,71119000000.0,25872000000.0,12028000000.0,7084000000.0,,28491000000.0,5696000000.0
INTC,2013,2014-02-14,12942000000.0,49430000000.0,,84351000000.0,31358000000.0,12898000000.0,13136000000.0,,33757000000.0,5411000000.0
INTC,2014,2015-02-13,11005000000.0,45911000000.0,,92358000000.0,32084000000.0,13568000000.0,13165000000.0,,33151000000.0,5160000000.0
INTC,2015,2016-02-12,9620000000.0,51203000000.0,,91900000000.0,27730000000.0,16011000000.0,12059000000.0,,31521000000.0,5097000000.0
INTC,2016,2017-02-17,11704000000.0,58256000000.0,,101459000000.0,38320000000.0,15646000000.0,20036000000.0,,35609000000.0,5056000000.0
INTC,2017,2018-02-16,11420000000.0,55865000000.0,,113327000000.0,35508000000.0,20302000000.0,20649000000.0,,34679000000.0,4894000000.0
INTC,2018,2019-02-01,10316000000.0,61085000000.0,,123249000000.0,29500000000.0,17421000000.0,25037000000.0,59387000000.0,36233000000.0,4875000000.0
INTC,2019,2020-01-24,9601000000.0,66226000000.0,22110000000.0,127963000000.0,28787000000.0,16626000000.0,25098000000.0,62761000000.0,39098000000.0,4835000000.0
INTC,2020,2021-01-22,21053000000.0,69653000000.0,29432000000.0,136524000000.0,31239000000.0,22310000000.0,25308000000.0,70848000000.0,43737000000.0,4701000000.0
INTC,2021,2022-01-27,21048000000.0,74563000000.0,33145000000.0,153091000000.0,47249000000.0,24754000000.0,33897000000.0,71965000000.0,42140000000.0,4473000000.0
INTC,2022,2023-01-27,20899000000.0,95391000000.0,35864000000.0,168406000000.0,58558000000.0,27462000000.0,33510000000.0,77867000000.0,43612000000.0,4232000000.0
INTC,2023,2024-01-26,19868000000.0,101423000000.0,29456000000.0,182103000000.0,50407000000.0,32155000000.0,37684000000.0,79024000000.0,43815000000.0,4090000000.0
INTC,2024,2025-01-31,8014000000.0,105590000000.0,15433000000.0,191572000000.0,43269000000.0,28053000000.0,46978000000.0,63054000000.0,26866000000.0,4123000000.0
