strategy,ticker,side,entry_date,entry_px,exit_date,exit_px,net,excess,regime
REVERSAL_3,HUM,1,2026-07-29,381.15,2026-07-29,365.41,-0.0433,-0.03027,calm-down
REVERSAL_3,MOH,1,2026-07-29,199.48,2026-07-29,199.02,-0.00431,0.00872,calm-down
PULLBACK_50,V,1,2026-07-25,351.6,2026-07-30,366.27,0.03972,0.03497,calm-down
PULLBACK_50,HUM,1,2026-07-26,394.5,2026-07-30,366.66,-0.07257,-0.07733,calm-down
RSI2_DIP,ANET,1,2026-07-28,170.76,2026-07-30,171.02,-0.00048,-0.004,calm-down
DOUBLE_DIP,AMD,1,2026-07-28,494.95,2026-07-30,485.39,-0.02132,-0.02483,calm-down
DOUBLE_DIP,MU,1,2026-07-28,900.2,2026-07-30,874.66,-0.03037,-0.03389,calm-down
RSI2_DIP,MU,1,2026-07-28,900.2,2026-07-30,874.66,-0.03037,-0.03389,calm-down
DOUBLE_DIP,ASML,1,2026-07-28,1655.26,2026-07-30,1651.44,-0.00431,-0.00783,calm-down
BOLL_SNAP,ASML,1,2026-07-28,1655.26,2026-07-30,1651.44,-0.00431,-0.00783,calm-down
DOUBLE_DIP,AMAT,1,2026-07-28,516.89,2026-07-30,501.77,-0.03125,-0.03477,calm-down
RSI2_DIP,AMAT,1,2026-07-28,516.89,2026-07-30,501.77,-0.03125,-0.03477,calm-down
DOUBLE_DIP,LRCX,1,2026-07-28,291.61,2026-07-30,297.72,0.01895,0.01543,calm-down
DOUBLE_DIP,KLAC,1,2026-07-28,203.36,2026-07-30,180.33,-0.11525,-0.11877,calm-down
RSI2_DIP,KLAC,1,2026-07-28,203.36,2026-07-30,180.33,-0.11525,-0.11877,calm-down
DOUBLE_DIP,TER,1,2026-07-28,334.77,2026-07-30,365.49,0.08976,0.08625,calm-down
RSI2_DIP,TER,1,2026-07-28,334.77,2026-07-30,365.49,0.08976,0.08625,calm-down
DOUBLE_DIP,TSEM,1,2026-07-28,224.21,2026-07-30,211.16,-0.0602,-0.06372,calm-down
DOUBLE_DIP,WDC,1,2026-07-28,497.92,2026-07-30,533.04,0.06853,0.06502,calm-down
BOLL_SNAP,HUM,1,2026-07-28,381.15,2026-07-30,366.66,-0.04002,-0.04353,calm-down
PANIC_BOUNCE,PLTR,1,2026-07-29,123.53,2026-07-30,122.26,-0.01228,-0.0134,calm-down
PANIC_LITE,PLTR,1,2026-07-29,123.53,2026-07-30,122.26,-0.01228,-0.0134,calm-down
REVERSAL_3,ANET,1,2026-07-29,169.71,2026-07-30,171.02,0.00572,0.0046,calm-down
PANIC_BOUNCE,HPE,1,2026-07-29,45.59,2026-07-30,47.14,0.032,0.03088,calm-down
PANIC_LITE,HPE,1,2026-07-29,45.59,2026-07-30,47.14,0.032,0.03088,calm-down
PANIC_BOUNCE,NBIS,1,2026-07-29,169.69,2026-07-30,188.43,0.10844,0.10732,calm-down
PANIC_LITE,NBIS,1,2026-07-29,169.69,2026-07-30,188.43,0.10844,0.10732,calm-down
PANIC_LITE,CRWV,1,2026-07-29,67.3,2026-07-30,73.9,0.09607,0.09495,calm-down
PANIC_LITE,INOD,1,2026-07-29,57.56,2026-07-30,60.07,0.04161,0.04049,calm-down
PANIC_LITE,AMD,1,2026-07-29,454.62,2026-07-30,485.39,0.06568,0.06456,calm-down
REVERSAL_3,TSM,1,2026-07-29,392.31,2026-07-30,403.31,0.02604,0.02492,calm-down
PANIC_LITE,QCOM,1,2026-07-29,162.88,2026-07-30,151.6,-0.07125,-0.07237,calm-down
PANIC_BOUNCE,MU,1,2026-07-29,820.53,2026-07-30,874.66,0.06397,0.06285,calm-down
PANIC_LITE,MU,1,2026-07-29,820.53,2026-07-30,874.66,0.06397,0.06285,calm-down
REVERSAL_3,MU,1,2026-07-29,820.53,2026-07-30,874.66,0.06397,0.06285,calm-down
PANIC_BOUNCE,MRVL,1,2026-07-29,174.47,2026-07-30,183.3,0.04861,0.04749,calm-down
PANIC_LITE,MRVL,1,2026-07-29,174.47,2026-07-30,183.3,0.04861,0.04749,calm-down
PANIC_LITE,SMCI,1,2026-07-29,28.45,2026-07-30,27.73,-0.02731,-0.02843,calm-down
PANIC_LITE,NXPI,1,2026-07-29,259.12,2026-07-30,245.16,-0.05587,-0.05699,calm-down
PANIC_BOUNCE,INTC,1,2026-07-29,86.3,2026-07-30,91.13,0.05397,0.05285,calm-down
PANIC_LITE,INTC,1,2026-07-29,86.3,2026-07-30,91.13,0.05397,0.05285,calm-down
REVERSAL_3,INTC,1,2026-07-29,86.3,2026-07-30,91.13,0.05397,0.05285,calm-down
PANIC_BOUNCE,ON,1,2026-07-29,84.39,2026-07-30,83.74,-0.0097,-0.01082,calm-down
PANIC_LITE,ON,1,2026-07-29,84.39,2026-07-30,83.74,-0.0097,-0.01082,calm-down
PANIC_LITE,MPWR,1,2026-07-29,1282.01,2026-07-30,1316.18,0.02465,0.02353,calm-down
PANIC_BOUNCE,AMAT,1,2026-07-29,476.46,2026-07-30,501.77,0.05112,0.05,calm-down
PANIC_LITE,AMAT,1,2026-07-29,476.46,2026-07-30,501.77,0.05112,0.05,calm-down
REVERSAL_3,AMAT,1,2026-07-29,476.46,2026-07-30,501.77,0.05112,0.05,calm-down
PANIC_BOUNCE,LRCX,1,2026-07-29,269.61,2026-07-30,297.72,0.10226,0.10114,calm-down
PANIC_LITE,LRCX,1,2026-07-29,269.61,2026-07-30,297.72,0.10226,0.10114,calm-down
REVERSAL_3,LRCX,1,2026-07-29,269.61,2026-07-30,297.72,0.10226,0.10114,calm-down
PANIC_BOUNCE,KLAC,1,2026-07-29,190.8,2026-07-30,180.33,-0.05687,-0.05799,calm-down
PANIC_LITE,KLAC,1,2026-07-29,190.8,2026-07-30,180.33,-0.05687,-0.05799,calm-down
REVERSAL_3,KLAC,1,2026-07-29,190.8,2026-07-30,180.33,-0.05687,-0.05799,calm-down
PANIC_LITE,TER,1,2026-07-29,320.65,2026-07-30,365.49,0.13784,0.13672,calm-down
REVERSAL_3,TER,1,2026-07-29,320.65,2026-07-30,365.49,0.13784,0.13672,calm-down
PANIC_BOUNCE,GFS,1,2026-07-29,49.02,2026-07-30,49.89,0.01575,0.01463,calm-down
PANIC_LITE,GFS,1,2026-07-29,49.02,2026-07-30,49.89,0.01575,0.01463,calm-down
PANIC_BOUNCE,TSEM,1,2026-07-29,202.99,2026-07-30,211.16,0.03825,0.03713,calm-down
PANIC_LITE,TSEM,1,2026-07-29,202.99,2026-07-30,211.16,0.03825,0.03713,calm-down
REVERSAL_3,TSEM,1,2026-07-29,202.99,2026-07-30,211.16,0.03825,0.03713,calm-down
PANIC_BOUNCE,WDC,1,2026-07-29,463.51,2026-07-30,533.04,0.14801,0.14689,calm-down
PANIC_LITE,WDC,1,2026-07-29,463.51,2026-07-30,533.04,0.14801,0.14689,calm-down
REVERSAL_3,WDC,1,2026-07-29,463.51,2026-07-30,533.04,0.14801,0.14689,calm-down
PANIC_BOUNCE,STX,1,2026-07-29,747.3,2026-07-30,851.68,0.13768,0.13656,calm-down
PANIC_LITE,STX,1,2026-07-29,747.3,2026-07-30,851.68,0.13768,0.13656,calm-down
REVERSAL_3,STX,1,2026-07-29,747.3,2026-07-30,851.68,0.13768,0.13656,calm-down
PANIC_BOUNCE,SNDK,1,2026-07-29,1096.1,2026-07-30,1279.96,0.16574,0.16462,calm-down
PANIC_LITE,SNDK,1,2026-07-29,1096.1,2026-07-30,1279.96,0.16574,0.16462,calm-down
REVERSAL_3,SNDK,1,2026-07-29,1096.1,2026-07-30,1279.96,0.16574,0.16462,calm-down
